Frequency,Total,Op Amp V,Op Amp I,Rf,Rin,Op Amp 2 V,Op Amp 2 I,Rfilter
28000,2.2687076500738019e-7,2.084737068682327e-8,5.024168225148614e-10,2.2446531438767064e-7,1.3995073776233584e-11,1.644974480803113e-8,3.078463487693173e-12,1.7246398108289737e-8
29000,2.268898391455827e-7,2.1131140937893438e-8,5.024006762308131e-10,2.244581006946518e-7,1.3695385581194287e-11,1.6449726254990564e-8,3.078377051323615e-12,1.7245877905109965e-8
30000,2.2690957747818248e-7,2.1420871315027166e-8,5.023839632458034e-10,2.2445063381602352e-7,1.3419364589826621e-11,1.644970705103138e-8,3.0782875901014883e-12,1.7245339496383143e-8
31000,2.269299794813834e-7,2.171631941914675e-8,5.023666835427613e-10,2.2444291374415875e-7,1.316457222555418e-11,1.6449687196160338e-8,3.0781951048533538e-12,1.7244782886984077e-8
32000,2.2695104461393602e-7,2.2017251150584765e-8,5.023488371040298e-10,2.2443494047116904e-7,1.2928879578933253e-11,1.6449666690384422e-8,3.0780995964335645e-12,1.7244208081951532e-8
33500,2.269838844534189e-7,2.2478438971769916e-8,5.023210047764501e-10,2.2442250579167506e-7,1.2607132603347638e-11,1.644963471128973e-8,3.0779506672942914e-12,1.7243311769015397e-8
35000,2.270182131138394e-7,2.295073202447644e-8,5.022918971883463e-10,2.2440950136263926e-7,1.231882713064628e-11,1.6449601267700627e-8,3.077794941104384e-12,1.7242374545897435e-8
37000,2.2706629705415963e-7,2.3596552071192767e-8,5.022511032160281e-10,2.2439127579492105e-7,1.1978804733979807e-11,1.6449554398191967e-8,3.0775767386055164e-12,1.724106131010456e-8
38500,2.2710409151806206e-7,2.409216158302676e-8,5.022190197542821e-10,2.2437694183155686e-7,1.175234453226461e-11,1.644951753755413e-8,3.0774051654520735e-12,1.7240028705512664e-8
40000,2.271433676387725e-7,2.459674669592004e-8,5.021856607970475e-10,2.243620380136755e-7,1.1546986360679779e-11,1.6449479212514556e-8,3.0772268065747518e-12,1.7238955257541733e-8
41500,2.271841230776217e-7,2.510975138409627e-8,5.021510262673664e-10,2.243465643068943e-7,1.1360186609536368e-11,1.6449439423103576e-8,3.077041665674585e-12,1.7237840988019795e-8
43000,2.2722635540892587e-7,2.563065490579173e-8,5.021151160852849e-10,2.2433052067549224e-7,1.1189771979010129e-11,1.644939816935266e-8,3.0768497465920793e-12,1.723668591959755e-8
45000,2.272849582172945e-7,2.6336642365841568e-8,5.020652513505186e-10,2.243082425532945e-7,1.0984852712306655e-11,1.6449340886545866e-8,3.076583317541514e-12,1.723508240409906e-8
47000,2.2734617594118352e-7,2.705474098653753e-8,5.020131184364856e-10,2.2428495107416015e-7,1.0802040460394241e-11,1.6449281000606764e-8,3.0763048552980693e-12,1.723340645694972e-8
48500,2.2739380139244876e-7,2.760067221904816e-8,5.019725301296494e-10,2.2426681739183464e-7,1.0677560346011183e-11,1.644923437789738e-8,3.0760881179860123e-12,1.7232101999608765e-8
